date,store_nbr,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2017-04-23,1,1.0,0.0,8.0,1047.0,1.0,178.518,6.0,253.0,390.0,54.598,74.0,35.0,1163.0,10.0,1.0,2.0,9.0,0.0,67.0,4.0,7.0,5.0,38.0,2.0,122.285,69.0,1.0,3.0,144.869,36.350998,1058.882,1.0,8.357000000000001
2017-04-24,1,6.0,0.0,5.0,2419.0,0.0,433.097,16.0,648.0,832.0,159.285,152.0,123.038,2540.0,17.0,1.0,8.0,21.0,0.0,179.0,9.0,14.0,21.0,70.0,10.0,330.03,120.0,8.0,8.0,364.50699999999995,73.957,2569.755,1.0,27.497
2017-04-25,1,3.0,0.0,3.0,2083.0,0.0,323.238,22.0,655.0,669.0,139.501,126.0,98.19,2817.0,28.0,2.0,3.0,17.0,0.0,138.0,17.0,29.0,4.0,112.0,7.0,218.86101000000002,124.0,6.0,7.0,305.144,38.787,2339.174,1.0,16.678
2017-04-26,1,2.0,0.0,2.0,2608.0,2.0,391.912,28.0,972.0,832.0,120.432,172.0,139.466,2868.0,16.0,1.0,25.0,30.0,1.0,157.0,9.0,26.0,4.0,86.0,10.0,270.26,166.0,7.0,14.0,369.16,77.736,4410.372,0.0,32.012
2017-04-27,1,8.0,0.0,3.0,2022.0,0.0,396.32199999999995,16.0,614.0,734.0,111.91799999999999,119.0,90.679,2301.0,33.0,1.0,19.0,15.0,1.0,150.0,13.0,19.0,7.0,127.0,8.0,246.37099999999998,121.0,6.0,16.0,252.87,73.472,2221.449,0.0,14.395999999999999
2017-04-28,1,3.0,0.0,2.0,2235.0,0.0,397.879,30.0,737.0,867.0,211.59,143.0,162.69299999999998,2876.0,21.0,2.0,26.0,25.0,0.0,165.0,7.0,18.0,11.0,162.0,6.0,797.58704,120.0,3.0,10.0,534.759,79.798996,2499.811,3.0,43.402
2017-04-29,1,2.0,0.0,5.0,2156.0,0.0,408.37699999999995,20.0,638.0,809.0,120.647,144.0,92.0,2426.0,9.0,1.0,9.0,19.0,0.0,170.0,7.0,16.0,8.0,188.0,11.0,300.507,157.0,13.0,6.0,267.12,70.039,2442.761,0.0,26.573
2017-04-30,1,3.0,0.0,0.0,995.0,1.0,139.507,2.0,208.0,315.0,60.114,64.0,58.656000000000006,886.0,12.0,0.0,3.0,2.0,0.0,57.0,4.0,20.0,2.0,46.0,2.0,87.319,54.0,3.0,7.0,127.59299999999999,49.111000000000004,920.9789999999999,0.0,11.925999999999998
2017-05-01,1,0.0,0.0,2.0,825.0,0.0,116.339,2.0,227.0,326.0,52.673,67.0,30.0,891.0,7.0,3.0,7.0,5.0,0.0,62.0,4.0,6.0,5.0,43.0,1.0,70.039,43.0,1.0,4.0,90.491,26.064,1097.818,0.0,16.694000000000003
2017-05-02,1,2.0,0.0,2.0,3179.0,0.0,447.23800000000006,20.0,1061.0,897.0,172.269,180.0,107.965,4193.0,26.0,1.0,12.0,25.0,0.0,271.0,9.0,11.0,10.0,225.0,3.0,378.861,259.0,13.0,12.0,393.52,59.669,2834.652,1.0,40.838
2017-05-03,1,5.0,0.0,6.0,2479.0,1.0,434.029,22.0,1117.0,927.0,165.995,151.0,134.0,3777.0,28.0,4.0,12.0,23.0,0.0,228.0,17.0,42.0,17.0,77.0,12.0,408.74800000000005,230.0,6.0,6.0,396.11300000000006,73.226,4424.103,2.0,43.438
2017-05-04,1,3.0,0.0,1.0,2454.0,0.0,438.214,15.0,956.0,755.0,133.78,102.0,104.454,2800.0,21.0,2.0,19.0,15.0,0.0,194.0,10.0,22.0,8.0,83.0,3.0,279.7,136.0,4.0,11.0,265.199,83.62799999999999,2194.038,0.0,36.435
2017-05-05,1,12.0,0.0,0.0,2243.0,1.0,398.965,15.0,829.0,882.0,149.82399999999998,164.0,138.0,2991.0,33.0,0.0,52.0,18.0,1.0,165.0,18.0,35.0,9.0,167.0,12.0,893.13,153.0,1.0,7.0,574.9119999999999,66.548996,2631.3740000000003,0.0,40.361
2017-05-06,1,4.0,0.0,4.0,2735.0,0.0,426.652,15.0,688.0,919.0,160.679,157.0,133.0,2752.0,25.0,4.0,43.0,22.0,1.0,200.0,20.0,16.0,14.0,154.0,12.0,285.99,185.0,9.0,6.0,335.756,67.41199999999999,2500.529,0.0,42.478
2017-05-07,1,3.0,0.0,4.0,1019.0,0.0,186.965,6.0,266.0,355.0,70.833,78.0,35.0,1103.0,9.0,1.0,5.0,9.0,1.0,68.0,7.0,9.0,6.0,34.0,8.0,118.398,69.0,5.0,8.0,112.573,31.193,1176.723,0.0,7.853
2017-05-08,1,5.0,0.0,4.0,2317.0,2.0,460.901,29.0,728.0,852.0,163.067,160.0,123.501,2854.0,23.0,3.0,36.0,15.0,0.0,201.0,24.0,16.0,9.0,47.0,9.0,262.865,186.0,5.0,10.0,399.51800000000003,68.078,2804.137,0.0,37.041
2017-05-09,1,2.0,0.0,5.0,1943.0,1.0,387.49800000000005,18.0,891.0,780.0,94.88799999999999,122.0,149.74,2763.0,14.0,0.0,10.0,19.0,0.0,188.0,12.0,9.0,21.0,79.0,13.0,329.26199999999994,145.0,7.0,14.0,311.872,51.706,2429.981,0.0,32.089
2017-05-10,1,2.0,0.0,6.0,2033.0,0.0,400.233,7.0,945.0,906.0,132.358,139.0,117.831,2925.0,38.0,1.0,22.0,18.0,1.0,212.0,11.0,27.0,19.0,108.0,9.0,263.566,134.0,11.0,14.0,391.175,67.149,4264.674,0.0,25.739
2017-05-11,1,4.0,0.0,3.0,1697.0,1.0,395.214,38.0,594.0,721.0,115.962,113.0,155.218,2233.0,40.0,0.0,9.0,7.0,0.0,134.0,13.0,19.0,7.0,67.0,7.0,250.201,93.0,1.0,16.0,277.225,68.984,1921.4470000000001,2.0,35.929
2017-05-12,1,4.0,0.0,3.0,2472.0,0.0,361.82800000000003,27.0,764.0,857.0,185.28599999999997,162.0,151.196,3532.0,19.0,3.0,12.0,26.0,0.0,178.0,13.0,38.0,3.0,174.0,6.0,685.932,128.0,5.0,5.0,598.076,88.382,2734.47,0.0,33.637
2017-05-13,1,2.0,0.0,10.0,2498.0,0.0,463.98199999999997,15.0,721.0,939.0,183.368,183.0,151.66699,2931.0,23.0,0.0,18.0,12.0,0.0,199.0,15.0,93.0,18.0,149.0,8.0,249.90400000000002,153.0,9.0,7.0,318.63599999999997,69.86700400000001,2833.187,0.0,32.873000000000005
2017-05-14,1,2.0,0.0,1.0,883.0,0.0,170.293,3.0,152.0,299.0,62.698,78.0,56.68,931.0,7.0,0.0,3.0,4.0,0.0,69.0,8.0,24.0,2.0,51.0,10.0,121.785,37.0,6.0,3.0,77.631004,23.94,982.6239999999999,0.0,12.989
2017-05-15,1,9.0,0.0,3.0,2280.0,0.0,340.48,13.0,662.0,710.0,127.835,183.0,122.726,2531.0,35.0,3.0,8.0,35.0,1.0,203.0,14.0,9.0,10.0,63.0,6.0,259.611,138.0,9.0,10.0,347.219,56.745003000000004,2958.9640000000004,0.0,37.686
2017-05-16,1,3.0,0.0,2.0,2393.0,0.0,364.471,12.0,785.0,794.0,142.44899999999998,157.0,104.669,2822.0,62.0,2.0,22.0,36.0,2.0,222.0,24.0,15.0,24.0,75.0,4.0,218.047,163.0,5.0,10.0,372.25198,58.009003,2279.137,0.0,33.223
2017-05-17,1,2.0,0.0,5.0,2374.0,1.0,468.181,29.0,841.0,828.0,144.168,136.0,115.0,3131.0,42.0,2.0,14.0,22.0,0.0,216.0,20.0,20.0,21.0,75.0,5.0,300.755,147.0,6.0,15.0,318.311,59.828,4211.83,1.0,23.303
2017-05-18,1,4.0,0.0,2.0,2154.0,0.0,350.50199999999995,12.0,669.0,718.0,132.686,108.0,150.0,2600.0,35.0,1.0,58.0,30.0,1.0,164.0,15.0,6.0,6.0,86.0,9.0,418.99402000000003,135.0,9.0,11.0,285.843,74.667,2078.948,0.0,23.923000000000002
2017-05-19,1,5.0,0.0,4.0,2743.0,0.0,481.324,24.0,826.0,957.0,177.19099999999997,170.0,120.0,3077.0,36.0,2.0,13.0,9.0,0.0,224.0,10.0,42.0,12.0,187.0,12.0,749.32,135.0,6.0,10.0,530.967,82.19,2787.8489,0.0,50.816
2017-05-20,1,4.0,0.0,3.0,2379.0,0.0,392.965,7.0,588.0,795.0,140.261,168.0,101.734,2573.0,29.0,2.0,21.0,22.0,0.0,211.0,15.0,9.0,8.0,146.0,11.0,245.68599999999998,208.0,9.0,19.0,260.343,61.027,2292.746,0.0,28.15
2017-05-21,1,1.0,0.0,1.0,974.0,0.0,161.529,1.0,243.0,337.0,75.683,90.0,50.0,1205.0,13.0,2.0,5.0,17.0,0.0,77.0,12.0,5.0,1.0,37.0,6.0,134.231,73.0,6.0,3.0,155.62599,34.184,1155.803,0.0,9.536
2017-05-22,1,2.0,0.0,5.0,2620.0,1.0,418.029,16.0,712.0,754.0,129.02700000000002,156.0,143.107,2842.0,25.0,1.0,19.0,20.0,2.0,206.0,19.0,14.0,1.0,32.0,7.0,220.85,176.0,7.0,12.0,355.121,48.78,2673.0989,0.0,20.807
2017-05-23,1,4.0,0.0,1.0,2365.0,1.0,413.152,8.0,822.0,736.0,127.90899999999999,134.0,142.0,2665.0,43.0,2.0,42.0,35.0,0.0,182.0,20.0,26.0,21.0,68.0,8.0,297.33,150.0,8.0,16.0,332.971,92.006,2460.27,0.0,31.115
2017-05-24,1,7.0,0.0,1.0,2611.0,1.0,349.681,11.0,944.0,867.0,166.06799999999998,154.0,176.06799999999998,3574.0,18.0,0.0,13.0,41.0,1.0,212.0,10.0,13.0,6.0,154.0,7.0,305.392,134.0,6.0,12.0,365.18300000000005,75.882,3943.65,1.0,35.523
2017-05-25,1,2.0,0.0,1.0,2229.0,0.0,372.385,18.0,706.0,723.0,122.56200000000001,125.0,147.909,2505.0,28.0,2.0,21.0,30.0,3.0,163.0,12.0,21.0,1.0,149.0,9.0,240.71900000000002,105.0,10.0,7.0,392.70599999999996,63.007,2359.139,0.0,18.622
2017-05-26,1,1.0,0.0,0.0,1100.0,0.0,190.733,7.0,303.0,375.0,82.697,90.0,72.173996,1301.0,8.0,1.0,26.0,11.0,0.0,84.0,13.0,23.0,4.0,63.0,2.0,363.216,57.0,1.0,5.0,253.888,39.117,1442.3039999999999,0.0,27.476
2017-05-27,1,1.0,0.0,2.0,2270.0,0.0,300.786,10.0,462.0,634.0,99.587,155.0,128.0,2166.0,10.0,3.0,11.0,11.0,1.0,160.0,10.0,12.0,4.0,120.0,8.0,212.68099999999998,123.0,7.0,6.0,215.49900000000002,47.961000000000006,2041.4279999999999,0.0,15.827
2017-05-28,1,2.0,0.0,1.0,1110.0,0.0,167.44099999999997,1.0,272.0,319.0,61.74100000000001,70.0,37.0,1258.0,14.0,0.0,7.0,8.0,1.0,56.0,4.0,14.0,2.0,38.0,3.0,91.29299999999999,55.0,4.0,1.0,119.896,35.033,1103.823,0.0,15.35
2017-05-29,1,6.0,0.0,4.0,2407.0,0.0,387.28,13.0,656.0,818.0,147.15200000000002,140.0,162.657,2666.0,18.0,2.0,13.0,22.0,0.0,219.0,15.0,23.0,8.0,45.0,3.0,462.486,178.0,8.0,9.0,360.095,55.376000000000005,2841.1440000000002,0.0,15.484000000000002
2017-05-30,1,2.0,0.0,3.0,1937.0,0.0,378.91,17.0,681.0,641.0,153.41,141.0,72.0,2497.0,29.0,5.0,5.0,11.0,1.0,217.0,16.0,28.0,14.0,50.0,3.0,228.297,141.0,9.0,3.0,281.601,70.498,2095.6910000000003,0.0,24.451999999999998
2017-05-31,1,3.0,0.0,11.0,2554.0,1.0,439.526,29.0,857.0,912.0,157.44299999999998,139.0,168.782,3262.0,23.0,4.0,11.0,31.0,0.0,194.0,13.0,24.0,11.0,88.0,4.0,343.43298,167.0,10.0,18.0,432.356,64.51100000000001,4064.3559999999998,0.0,27.976999999999997
2017-06-01,1,6.0,0.0,1.0,2250.0,3.0,391.227,34.0,683.0,801.0,89.499,149.0,109.0,2774.0,31.0,3.0,16.0,34.0,0.0,187.0,8.0,27.0,5.0,76.0,4.0,264.052,158.0,5.0,7.0,288.223,59.391000000000005,2812.603,0.0,17.656
2017-06-02,1,19.0,0.0,1.0,2752.0,0.0,417.912,25.0,830.0,792.0,217.50099999999998,220.0,242.0,2953.0,37.0,4.0,13.0,31.0,1.0,191.0,13.0,32.0,11.0,180.0,4.0,645.513,181.0,8.0,5.0,630.89703,60.172,2571.444,0.0,33.675
2017-06-03,1,8.0,0.0,1.0,2718.0,0.0,380.69199999999995,15.0,621.0,862.0,158.878,199.0,133.03,2996.0,28.0,3.0,14.0,33.0,2.0,207.0,24.0,19.0,6.0,235.0,5.0,529.893,221.0,5.0,7.0,358.358,92.50399999999999,2749.65,0.0,21.622
2017-06-04,1,0.0,0.0,2.0,1142.0,0.0,161.493,2.0,253.0,358.0,87.50200000000001,98.0,34.0,1148.0,7.0,1.0,14.0,17.0,0.0,79.0,11.0,9.0,6.0,25.0,1.0,112.665,72.0,4.0,2.0,164.636,17.852999999999998,1276.597,0.0,6.138
2017-06-05,1,6.0,0.0,2.0,2616.0,0.0,402.837,5.0,680.0,769.0,120.684,159.0,175.56,3071.0,20.0,2.0,20.0,50.0,1.0,207.0,20.0,6.0,3.0,71.0,3.0,248.55200000000002,179.0,17.0,17.0,360.58797999999996,71.645004,2717.218,0.0,27.948
2017-06-06,1,2.0,0.0,2.0,2625.0,1.0,387.346,19.0,832.0,832.0,179.062,173.0,105.0,3383.0,39.0,2.0,13.0,36.0,0.0,210.0,17.0,23.0,12.0,73.0,6.0,253.407,240.0,8.0,10.0,393.769,88.844,2789.2659999999996,0.0,20.85
2017-06-07,1,7.0,0.0,3.0,2651.0,1.0,401.793,17.0,892.0,842.0,137.834,199.0,215.23401,3353.0,40.0,1.0,29.0,30.0,0.0,181.0,23.0,22.0,7.0,91.0,6.0,315.24802,191.0,5.0,12.0,349.962,60.181000000000004,4589.948,0.0,32.731
2017-06-08,1,1.0,0.0,4.0,2159.0,0.0,348.98699999999997,13.0,610.0,648.0,140.974,143.0,96.0,2902.0,38.0,3.0,9.0,24.0,1.0,145.0,7.0,16.0,4.0,85.0,7.0,284.95799999999997,164.0,7.0,8.0,314.902,59.468,2106.388,0.0,23.365
2017-06-09,1,1.0,0.0,5.0,2532.0,0.0,408.15,21.0,845.0,920.0,198.99200000000002,196.0,167.93200000000002,3105.0,27.0,0.0,12.0,31.0,0.0,205.0,10.0,26.0,18.0,204.0,5.0,709.002,170.0,7.0,9.0,599.903,75.553,2879.673,0.0,68.21
2017-06-10,1,4.0,0.0,3.0,2692.0,0.0,418.077,10.0,638.0,785.0,107.81700000000001,192.0,146.0,3106.0,21.0,2.0,16.0,16.0,1.0,176.0,15.0,17.0,6.0,111.0,7.0,161.372,187.0,10.0,8.0,239.56599999999997,77.108,2257.845,0.0,18.975
2017-06-11,1,3.0,0.0,1.0,1272.0,2.0,180.703,4.0,259.0,410.0,93.04299999999999,95.0,65.0,1352.0,20.0,0.0,4.0,14.0,0.0,84.0,19.0,5.0,1.0,32.0,4.0,169.877,81.0,5.0,3.0,167.329,43.086998,1422.027,0.0,14.752
2017-06-12,1,4.0,0.0,4.0,2335.0,0.0,377.26199999999994,19.0,570.0,746.0,142.83700000000002,184.0,102.86399999999999,2601.0,25.0,3.0,20.0,24.0,1.0,151.0,21.0,19.0,3.0,80.0,6.0,197.80501,138.0,5.0,12.0,327.496,68.006,2587.6079999999997,0.0,23.563000000000002
2017-06-13,1,5.0,0.0,1.0,2579.0,2.0,350.35900000000004,11.0,754.0,712.0,127.633,163.0,85.35,2426.0,33.0,1.0,30.0,32.0,1.0,149.0,5.0,16.0,15.0,68.0,10.0,284.78700000000003,176.0,6.0,13.0,298.09302,31.505001,2394.3979999999997,0.0,21.864
2017-06-14,1,5.0,0.0,3.0,2707.0,3.0,470.74,19.0,808.0,792.0,121.333,166.0,179.412,4411.0,43.0,4.0,59.0,40.0,0.0,202.0,12.0,28.0,4.0,131.0,10.0,259.078,154.0,11.0,5.0,344.184,55.981003,3818.9759999999997,0.0,24.826
2017-06-15,1,3.0,0.0,8.0,2137.0,1.0,364.44699999999995,33.0,672.0,811.0,124.89200000000001,154.0,174.645,3189.0,15.0,3.0,69.0,20.0,3.0,123.0,11.0,14.0,7.0,94.0,10.0,315.79,130.0,7.0,7.0,328.673,82.705,2499.705,0.0,21.546
2017-06-16,1,4.0,0.0,5.0,2532.0,1.0,370.159,27.0,851.0,779.0,133.194,172.0,140.0,2991.0,33.0,2.0,15.0,24.0,1.0,161.0,19.0,36.0,6.0,177.0,14.0,741.206,119.0,3.0,8.0,552.06903,71.789,2417.877,0.0,50.231
2017-06-17,1,3.0,0.0,1.0,2738.0,0.0,387.04,17.0,554.0,865.0,166.304,223.0,169.55900000000003,3016.0,28.0,4.0,57.0,23.0,1.0,149.0,20.0,11.0,6.0,188.0,13.0,314.448,163.0,10.0,7.0,339.034,71.17699999999999,2845.031,0.0,24.749000000000002
2017-06-18,1,2.0,0.0,2.0,1005.0,0.0,160.192,7.0,197.0,347.0,62.162,90.0,57.0,1223.0,24.0,0.0,9.0,8.0,1.0,74.0,4.0,8.0,2.0,67.0,2.0,82.618,90.0,4.0,2.0,108.155,35.853,1270.613,0.0,13.039000000000001
2017-06-19,1,3.0,0.0,3.0,2493.0,0.0,402.694,15.0,674.0,665.0,140.827,198.0,155.89700000000002,3373.0,14.0,2.0,14.0,25.0,0.0,181.0,11.0,8.0,15.0,50.0,5.0,226.78,186.0,9.0,10.0,289.381,77.513,2646.5229999999997,0.0,14.224
2017-06-20,1,3.0,0.0,6.0,2977.0,0.0,414.98,13.0,773.0,707.0,127.118,170.0,93.729004,4575.0,18.0,7.0,19.0,27.0,1.0,174.0,14.0,25.0,12.0,89.0,4.0,574.981,179.0,6.0,10.0,367.306,76.582,2414.1620000000003,0.0,32.975
